순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,배급사 
1,극장판 귀멸의 칼날: 무한성편,2025-08-22,15434624000,43.40%,49483541980,1409431,4563381,1761,72728,일본,일본,(주)씨제이이엔엠
2,얼굴,2025-09-11,4503173060,12.70%,4503173060,433547,433547,985,22063,한국,한국,메가박스중앙(주) 플러스엠 엔터테인먼트
3,컨저링: 마지막 의식,2025-09-03,4036148990,11.30%,4039685990,383858,384203,918,23653,미국,미국,워너브러더스 코리아(주)
4,살인자 리포트,2025-09-05,3191538400,9.00%,3199620400,319058,319956,841,24212,한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,주식회사 에이투지엔터테인먼트"
5,F1 더 무비,2025-06-25,2706241310,7.60%,53847001410,302656,5063856,730,20435,미국,미국,워너브러더스 코리아(주)
6,좀비딸,2025-07-30,2105202280,5.90%,52802586890,242667,5592431,762,20872,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
7,첫사랑 엔딩,2025-08-27,693369840,1.90%,1297839460,69637,133979,452,5406,중국,중국,(주)바이포엠스튜디오
8,건국전쟁2,2025-09-10,276885250,0.80%,276885250,28049,28049,379,3675,한국,한국,다큐스토리프로덕션
9,긴키 지방의 어느 장소에 대하여,2025-08-13,226516550,0.60%,2784490140,21836,272404,268,2304,일본,일본,(주)바이포엠스튜디오
10,악마가 이사왔다,2025-08-13,164468700,0.50%,4127917010,19179,436437,293,1812,한국,한국,(주)씨제이이엔엠
11,아기돼지 3형제: 도넛별 대모험,2025-09-04,132785660,0.40%,158094360,15675,18137,281,1303,중국,중국,와이드 릴리즈(주)
12,노바디2,2025-08-27,127680700,0.40%,532043200,13472,59520,300,2990,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
13,이티,1984-06-23,114665100,0.30%,175980600,11575,19614,126,1452,미국,미국,"유니버설픽쳐스인터내셔널 코리아(유),UIP코리아"
14,곤지암,2018-03-28,123239000,0.30%,21583920144,11242,2689358,58,602,한국,한국,"(주)쇼박스,씨제이포디플렉스 주식회사"
15,귀시,2025-09-17,106892600,0.30%,108832600,10988,11182,618,1435,한국,한국,"(주)바이포엠스튜디오,(주)제리굿컴퍼니"
16,토이 스토리,1995-12-30,100802300,0.30%,112153378,10832,12164,68,681,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
17,엔하이픈 브이알콘서트 : 이머전,2025-08-08,340538000,1.00%,915764000,10390,28112,1,142,한국,한국,(주)어메이즈브이알코리아
18,킹 오브 킹스,2025-07-16,97639750,0.30%,12326097326,10355,1306607,86,554,한국,한국,(주)디스테이션
19,프리키 프라이데이 2,2025-08-27,79870900,0.20%,284578250,8409,30964,342,1455,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
20,독립군: 끝나지 않은 전쟁,2025-08-13,76227900,0.20%,448637920,8206,49400,58,369,한국,한국,주식회사 블루필름웍스
21,은혼 진선조 동란편 온 씨어터,2025-09-10,72001200,0.20%,72001200,6415,6415,24,280,일본,일본,에스엠지홀딩스 주식회사
22,머티리얼리스트,2025-08-08,46118480,0.10%,590423400,5305,63686,70,610,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
23,스머프,2025-08-06,42730990,0.10%,1689359830,5051,191328,80,344,미국,미국,롯데컬처웍스(주)롯데엔터테인먼트
24,너의 이름은.,2017-01-04,70823700,0.20%,32064172687,4284,3935536,49,55,일본,일본,메가박스중앙(주) 플러스엠 엔터테인먼트
25,괴물의 아이,2015-11-25,44270700,0.10%,1716771616,4136,230198,92,674,일본,일본,"와이드 릴리즈(주),CGV아트하우스,(주)리틀빅픽쳐스"
26,챌린저스,2024-04-24,44171440,0.10%,924416212,3886,92660,180,251,미국,미국,"찬란,워너브러더스 코리아(주)"
27,킹 오브 프리즘 -유어 엔드리스 콜- 모두 빛나라! 프리즘 투어즈,2025-07-18,37798240,0.10%,266927790,3878,28110,18,209,일본,일본,동우에이앤이(주)
28,배드 가이즈 2,2025-07-30,34337860,0.10%,3599728290,3850,398829,59,254,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
29,더 로즈: 완벽한 이혼,2025-09-17,35914400,0.10%,35914400,3704,3704,167,462,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
30,날씨의 아이,2019-10-30,63361900,0.20%,7339816092,3657,870306,48,49,일본,일본,"메가박스중앙(주) 플러스엠 엔터테인먼트,(주)미디어캐슬,워터홀컴퍼니(주)"
31,개비의 매직하우스 극장판,2025-10-03,30040000,0.10%,30040000,3004,3004,13,12,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
32,빌리브,,5352000,0.00%,5352000,2656,2656,38,65,한국,한국,씨제이 씨지브이(CJ CGV)(주)
33,신입기자 토롯코,2025-09-03,23203600,0.10%,23203600,2636,2636,57,434,일본,일본,TCO(주)더콘텐츠온
34,발레리나,2025-08-06,21348500,0.10%,3216516670,2112,323095,45,229,미국,미국,판씨네마(주)
35,명탐정 코난: 척안의 잔상,2025-07-16,21247360,0.10%,7271015540,2066,738703,28,211,일본,일본,(주)씨제이이엔엠
36,초속5센티미터 X 특별영상 '어느 봄의 기억',2025-09-17,32455100,0.10%,32455100,1984,1984,58,90,일본,일본,(주)미디어캐슬
37,썸머 블루 아워,2025-09-17,23730700,0.10%,23730700,1765,1765,67,86,대만,대만,(주)누리픽쳐스
38,식스데이즈,2025-08-13,38324000,0.10%,1027874000,1742,46901,26,204,한국,한국,"씨지브이 아이스콘,씨제이포디플렉스 주식회사"
39,메이크 어 걸,2025-09-10,17083200,0.00%,17083200,1624,1624,78,468,일본,일본,(주)바이포엠스튜디오
40,아이 캔 스피크,2017-09-21,8379000,0.00%,25597423886,1544,3290166,4,39,한국,한국,"(주)마노엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
41,대가족,2024-12-11,8601000,0.00%,3106029600,1423,355713,5,17,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
42,킬러들의 비행,2025-09-03,11961800,0.00%,11961800,1251,1251,28,200,미국,미국,(주)누리픽쳐스
43,가족의 비밀,2025-09-10,11821000,0.00%,11821000,1243,1243,31,174,한국,한국,(주)스튜디오디에이치엘
44,브레드이발소: 베이커리타운의 악당들,2025-09-27,7816000,0.00%,7816000,1154,1154,86,14,한국,한국,씨제이 씨지브이(CJ CGV)(주)
45,극장판 진격의 거인 완결편 더 라스트 어택,2025-03-13,10421020,0.00%,9768113170,1070,948991,11,79,일본,일본,(주)애니플러스
46,일식,,1879000,0.00%,18837000,912,6788,1,12,이탈리아,"이탈리아,프랑스",
47,알사탕,,4210000,0.00%,669895000,842,133977,6,9,일본,일본,롯데컬처웍스(주)롯데시네마
48,길 위의 뭉치,,10000000,0.00%,38008000,800,3723,1,4,한국,한국,
